time	V(v_out)	V(n002)
1.012396495187937e-003	-3.882855e-002	7.781074e-002
1.020488013045079e-003	-6.426909e-002	1.286937e-001
1.028579530902222e-003	-8.938378e-002	1.789246e-001
1.036671048759365e-003	-1.141726e-001	2.285033e-001
1.044762566616508e-003	-1.386356e-001	2.774300e-001
1.052854084473651e-003	-1.627728e-001	3.257046e-001
1.060945602330794e-003	-1.865841e-001	3.733270e-001
1.069037120187937e-003	-2.100696e-001	4.202974e-001
1.082429977330794e-003	-2.480310e-001	4.962184e-001
1.095822834473651e-003	-2.836557e-001	5.674649e-001
1.109215691616508e-003	-3.169438e-001	6.340370e-001
1.122608548759365e-003	-3.478952e-001	6.959348e-001
1.136001405902222e-003	-3.765099e-001	7.531580e-001
1.149394263045079e-003	-4.027878e-001	8.057069e-001
1.162787120187937e-003	-4.267291e-001	8.535814e-001
1.190967923759365e-003	-4.660055e-001	9.321125e-001
1.219148727330794e-003	-4.902112e-001	9.805009e-001
1.247329530902223e-003	-4.993461e-001	9.987466e-001
1.275510334473651e-003	-4.934103e-001	9.868496e-001
1.303691138045080e-003	-4.724038e-001	9.448098e-001
1.331871941616508e-003	-4.363265e-001	8.726272e-001
1.360052745187937e-003	-3.851785e-001	7.703019e-001
1.372329530902223e-003	-3.590124e-001	7.179582e-001
1.384606316616508e-003	-3.311550e-001	6.622326e-001
1.396883102330794e-003	-3.016065e-001	6.031252e-001
1.409159888045080e-003	-2.703668e-001	5.406360e-001
1.421436673759366e-003	-2.374359e-001	4.747650e-001
1.433713459473651e-003	-2.028139e-001	4.055121e-001
1.445990245187937e-003	-1.665006e-001	3.328773e-001
1.452686673759366e-003	-1.464326e-001	2.927372e-001
1.459383102330794e-003	-1.261959e-001	2.522599e-001
1.466079530902223e-003	-1.057904e-001	2.114453e-001
1.472775959473651e-003	-8.521608e-002	1.702933e-001
1.479472388045080e-003	-6.447305e-002	1.288042e-001
1.486168816616508e-003	-4.356127e-002	8.697770e-002
1.492865245187937e-003	-2.248073e-002	4.481397e-002
1.495655423759366e-003	-1.371471e-002	2.728092e-002
1.498445602330794e-003	-4.951209e-003	9.752947e-003
1.501235780902223e-003	3.809776e-003	-7.769948e-003
1.504025959473651e-003	1.256824e-002	-2.528776e-002
1.506816138045080e-003	2.132420e-002	-4.280050e-002
1.509606316616508e-003	3.007763e-002	-6.030816e-002
1.512396495187937e-003	3.882855e-002	-7.781074e-002
1.520488013045080e-003	6.426909e-002	-1.286937e-001
1.528579530902223e-003	8.938378e-002	-1.789246e-001
1.536671048759366e-003	1.141726e-001	-2.285033e-001
1.544762566616508e-003	1.386356e-001	-2.774300e-001
1.552854084473651e-003	1.627728e-001	-3.257046e-001
1.560945602330794e-003	1.865841e-001	-3.733270e-001
1.569037120187937e-003	2.100696e-001	-4.202974e-001
1.582429977330794e-003	2.480310e-001	-4.962184e-001
1.595822834473651e-003	2.836557e-001	-5.674649e-001
1.609215691616508e-003	3.169438e-001	-6.340370e-001
1.622608548759366e-003	3.478952e-001	-6.959348e-001
1.636001405902223e-003	3.765099e-001	-7.531580e-001
